"year_base";"year";"month";"index_p";"index_i";"standard_deviation";"variance";"n_points";"standard_error";"year_from_to";"area_name"
2016;2017;12;1,13;1,0113;1,80686241369025;3,26475178200655;13;0,5;"2016-2017";"Nedre Glomma"
2017;2018;12;0,16;1,0016;1,41804512721581;2,0108519828205;13;0,4;"2017-2018";"Nedre Glomma"
2018;2019;12;0,51;1,0051;1,28374771255309;1,6480081894853;12;0,4;"2018-2019";"Nedre Glomma"
2019;2020;12;-10,82;0,8918;6,8264068864309;46,5998309791112;12;2;"2019-2020";"Nedre Glomma"
2020;2021;12;3,11;1,0311;4,67139659607287;21,8219461578012;12;1,3;"2020-2021";"Nedre Glomma"
2021;2022;4;16,91;1,1691;9,81417989581378;96,3181270273954;12;2,8;"2021-2022";"Nedre Glomma"
2016;2018;12;1,29180800000002;1,01291808;0,492734080055537;0,242786873648177;13;0,1;"2016-2018";"Nedre Glomma"
2016;2019;12;1,80839622080002;1,018083962208;0,486416530959591;0,236601041590762;13;0,1;"2016-2019";"Nedre Glomma"
2016;2020;12;-9,20727225029053;0,907927277497095;3,86018272203372;14,9010106474876;13;1,1;"2016-2020";"Nedre Glomma"
2016;2021;12;-6,38361841727457;0,936163815827254;12,9356782486934;167,33177175372;13;3,6;"2016-2021";"Nedre Glomma"
2016;2022;4;9,44691170836429;1,09446911708364;64,1173187752548;4111,03056692765;13;17,8;"2016-2022";"Nedre Glomma"
