"trp_id";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"msnr";"adt";"year";"index_17";"index_18";"index_19";"index_20";"index_21";"index"
"55092V1125799";"Breivika";"EV8 S2D1 m207";"Ev 8";"Troms og Finnmark";"Tromsø";69,677575;18,980192;"0.14157@1125799";1900270;19600;2020;-6,4;4,9;1,4;-7,19;6,21;-1,9
"68511V2673383";"Tromsøysundtunnelen T1";"EV8 S2D1 m2967";"Ev 8";"Troms og Finnmark";"Tromsø";69,67012;19,018382;"0.68511@2673383";1900269;4830;2020;NA;NA;NA;-4,7;5,69;NA
"31157V2782679";"Tromsøysundtunnelen T2";"EV8 S2D1 m5455";"Ev 8";"Troms og Finnmark";"Tromsø";69,670087;19,019226;"0.31157@2782679";1900268;4580;2020;NA;NA;-0,6;-3,91;5,51;NA
"31958V1125796";"Kraftforsyningen";"EV8 S2D1 m8454";"Ev 8";"Troms og Finnmark";"Tromsø";69,657706;19,01207;"0.31958@1125796";1900267;9780;2020;2;-6,3;-1,3;-5,04;5,5;-5,5
"85147V1201967";"Hungeren";"EV8 S3D1 m1048";"Ev 8";"Troms og Finnmark";"Tromsø";69,635616;18,961609;"0.85147@1201967";1900103;10220;2020;1,4;2,4;0,1;-4,31;3,7;3,1
"79743V1125914";"Tromsøbrua";"FV862 S1D1 m1705";"Fv 862";"Troms og Finnmark";"Tromsø";69,654124;18,96535;"0.79763@1125914";1900204;16140;2020;-4,6;1,1;-1,2;-10,79;NA;NA
"05293V1125916";"Breiviktunnelen";"FV862 S1D1 m2604";"Fv 862";"Troms og Finnmark";"Tromsø";69,659465;18,955189;"0.05293@1125916";1900265;6020;2020;5,4;-1,2;2,2;-11,96;4,8;-1,8
"71291V1125935";"Sentrumstangenten";"FV862 S1D10 m791";"Fv 862";"Troms og Finnmark";"Tromsø";69,651873;18,945449;"0.71291@1125935";1900280;8660;2020;2,7;NA;-3,1;-8,57;8,67;NA
"52043V1664653";"Langnestunnelen";"FV862 S1D20 m897";"Fv 862";"Troms og Finnmark";"Tromsø";69,663863;18,938923;"0.52043@1664653";1900107;13190;2020;0,7;NA;-1,2;-8,19;1,6;NA
"49212V1126027";"Postterminalen";"FV862 S1D30 m46";"Fv 862";"Troms og Finnmark";"Tromsø";69,66961;18,919523;"0.86826@1126027";1900273;11450;2020;3,3;3,3;NA;NA;1,49;NA
"02636V1125920";"Sandnessund Brua";"FV862 S2D1 m609";"Fv 862";"Troms og Finnmark";"Tromsø";69,683995;18,905659;"0.02631@1125920";1900225;15110;2020;0,5;0,9;-1,5;-5,97;3,55;-2,7
"62639V2268190";"Kvaløysletta Sør";"FV862 S2D1 m2930";"Fv 862";"Troms og Finnmark";"Tromsø";69,693002;18,872476;"0.63232@2268190";1900226;12350;2020;1,9;0,7;-1,9;-5,35;5,57;0,6
"03836V1125958";"Kvaløysletta Nord";"FV863 S1D1 m378";"Fv 863";"Troms og Finnmark";"Tromsø";69,698434;18,889475;"0.03836@1125958";1900227;5430;2020;-0,7;0,3;-2,6;-3,36;3,31;-3,1
"13980V1126353";"Lunheim";"FV864 S1D1 m1417";"Fv 864";"Troms og Finnmark";"Tromsø";69,672966;19,038616;"0.14862@1126353";1900276;9600;2020;0,6;1,1;-0,5;-5,01;6,56;2,4
"52576V1126026";"Gimle";"FV7772 S1D1 m130";"Fv 7772";"Troms og Finnmark";"Tromsø";69,683548;18,998967;"0.96306@3153346";1900441;10940;2019;2;NA;NA;NA;NA;NA
