"year_base";"year";"month";"index_p";"index_i";"standard_deviation";"variance";"n_points";"standard_error";"year_from_to";"area_name"
2016;2017;12;-0,2;0,998;2,05260133363784;4,21317223485184;26;0,4;"2016-2017";"Buskerudbyen"
2017;2018;12;-0,11;0,9989;2,96430831137476;8,78712376488547;20;0,7;"2017-2018";"Buskerudbyen"
2018;2019;12;0,26;1,0026;2,4936193315816;6,21813737083748;18;0,6;"2018-2019";"Buskerudbyen"
2019;2020;12;-6,52;0,9348;3,01762846492424;9,10608155232101;10;1;"2019-2020";"Buskerudbyen"
2020;2021;12;1,68;1,0168;3,52081534032957;12,3961406607;19;0,8;"2020-2021";"Buskerudbyen"
2021;2022;4;11,17;1,1117;3,01598918958926;9,09619079171926;25;0,6;"2021-2022";"Buskerudbyen"
2016;2018;12;-0,309780000000004;0,9969022;0,301215046701041;0,0907305043591101;26;0,1;"2016-2018";"Buskerudbyen"
2016;2019;12;-0,0505854280000051;0,99949414572;0,185989898832195;0,0345922424676101;26;0;"2016-2019";"Buskerudbyen"
2016;2020;12;-6,56728725809441;0,934327127419056;0,245154090870011;0,0601005282703015;26;0;"2016-2020";"Buskerudbyen"
2016;2021;12;-4,99761768403041;0,950023823159696;5,30535484509361;28,1467900323582;26;1;"2016-2021";"Buskerudbyen"
2016;2022;4;5,61414842066339;1,05614148420663;12,0229921081188;144,552339231886;26;2,4;"2016-2022";"Buskerudbyen"
