"area_name";"year";"month";"period";"month_object";"month_name";"index_p";"standard_deviation";"confidence_width";"base_volume";"calc_volume";"n_points";"standard_error"
"Kristiansand";2017;1;"month";2017-01-01;"Januar";3,72;3,27417765903887;1,35151411220099;6318060;6553284;17;0,8
"Kristiansand";2017;2;"month";2017-02-01;"Februar";-2,56;2,73886659784005;1,10625215966772;6703324;6531480;18;0,6
"Kristiansand";2017;3;"month";2017-03-01;"Mars";5,76;5,78737474854646;2,44379402959341;6245878;6605921;17;1,4
"Kristiansand";2017;4;"month";2017-04-01;"April";-7,56;3,71175151093248;1,46831999506179;8833908;8165654;17;0,9
"Kristiansand";2017;5;"month";2017-05-01;"Mai";1,55;2,72243040909568;1,01657222165319;10337075;10497510;21;0,6
"Kristiansand";2017;6;"month";2017-06-01;"Juni";-1,06;3,18780006264485;1,37850811973797;7118635;7043074;15;0,8
"Kristiansand";2017;7;"month";2017-07-01;"Juli";-1,59;2,41424148338753;1,09894954768835;6667079;6561201;14;0,6
"Kristiansand";2017;8;"month";2017-08-01;"August";0,85;2,70120017200795;1,14061679775405;8248557;8319038;17;0,7
"Kristiansand";2017;9;"month";2017-09-01;"September";-0,41;2,73346197745326;1,18203759861528;6971491;6942909;16;0,7
"Kristiansand";2017;10;"month";2017-10-01;"Oktober";1,68;1,90088675286837;0,751965755079198;7729197;7858979;18;0,4
"Kristiansand";2017;11;"month";2017-11-01;"November";2,45;1,49827090163056;0,59269622882991;7826910;8018871;18;0,4
"Kristiansand";2017;12;"month";2017-12-01;"Desember";-0,11;2,10211072872071;0,799600157798543;9052183;9042425;20;0,5
"Kristiansand";2018;1;"month";2018-01-01;"Januar";0,71;2,45235477342849;0,950923909649689;8005541;8062204;19;0,6
"Kristiansand";2018;2;"month";2018-02-01;"Februar";-1,43;2,45215860065083;0,970041635005302;7243862;7140318;19;0,6
"Kristiansand";2018;3;"month";2018-03-01;"Mars";-6,98;4,77240579100608;2,01521022667261;5631922;5238848;16;1,2
"Kristiansand";2018;4;"month";2018-04-01;"April";8,74;7,54084185304827;2,92403321682762;8283902;9007673;21;1,6
"Kristiansand";2018;5;"month";2018-05-01;"Mai";-1,11;3,42535132977787;1,32821258723605;9452620;9347746;19;0,8
