"area_name";"year";"month";"period";"month_object";"month_name";"index_p";"standard_deviation";"confidence_width";"base_volume";"calc_volume";"n_points";"standard_error"
"Nedre Glomma";2017;1;"month";2017-01-01;"Januar";4,61;1,79593322527241;1,20652435766596;4523568;4732162;11;0,5
"Nedre Glomma";2017;2;"month";2017-02-01;"Februar";0,56;2,08781355260719;1,32653344412472;4727488;4753863;12;0,6
"Nedre Glomma";2017;3;"month";2017-03-01;"Mars";10,1;4,39127104993944;2,95009603269723;4311297;4746720;11;1,3
"Nedre Glomma";2017;4;"month";2017-04-01;"April";-6,01;5,88359851553408;3,9526552657003;4857035;4565098;11;1,8
"Nedre Glomma";2017;5;"month";2017-05-01;"Mai";1,04;3,34410339802491;2,57050542146529;3783003;3822160;9;1,1
"Nedre Glomma";2017;6;"month";2017-06-01;"Juni";2,87;5,88747570860289;4,21164640688368;4419778;4546789;10;1,9
"Nedre Glomma";2017;7;"month";2017-07-01;"Juli";0,91;2,6681855913759;1,79251147062;4308141;4347409;11;0,8
"Nedre Glomma";2017;8;"month";2017-08-01;"August";1,19;1,84464636830216;1,23925029244838;4796366;4853218;11;0,6
"Nedre Glomma";2017;9;"month";2017-09-01;"September";0,28;2,7281285382875;1,83278169030378;5018126;5032240;11;0,8
"Nedre Glomma";2017;10;"month";2017-10-01;"Oktober";1,43;1,53929647927024;1,034113445742;5222771;5297638;11;0,5
"Nedre Glomma";2017;11;"month";2017-11-01;"November";0,52;2,32467545213868;1,47702831517058;5603996;5633039;12;0,7
"Nedre Glomma";2017;12;"month";2017-12-01;"Desember";-1,74;2,05599641631788;1,24242619987336;6145621;6038415;13;0,6
"Nedre Glomma";2018;1;"month";2018-01-01;"Januar";-0,61;1,62081958339963;1,02981963192401;5619056;5584558;12;0,5
"Nedre Glomma";2018;2;"month";2018-02-01;"Februar";0,09;1,83790660921804;1,1677501476418;4969120;4973641;12;0,5
"Nedre Glomma";2018;3;"month";2018-03-01;"Mars";-4,57;4,15073893368873;2,63725369848895;5993752;5720026;12;1,2
"Nedre Glomma";2018;4;"month";2018-04-01;"April";6,77;4,20975030243166;2,6747477333961;5528625;5903134;12;1,2
"Nedre Glomma";2018;5;"month";2018-05-01;"Mai";0,9;2,57768134648574;1,73170989158825;5581034;5631396;11;0,8
"Nedre Glomma";2018;6;"month";2018-06-01;"Juni";-0,38;2,15533598779145;1,4479744188874;5621623;5600077;11;0,6
"Nedre Glomma";2018;7;"month";2018-07-01;"Juli";0,24;2,81707846228145;1,70234347728372;5536321;5549405;13;0,8
"Nedre Glomma";2018;8;"month";2018-08-01;"August";0,87;1,66564974966898;1,00654207000392;6157194;6210535;13;0,5
"Nedre Glomma";2018;9;"month";2018-09-01;"September";-1,7;1,82061253188431;1,15676201513359;5639921;5544092;12;0,5
"Nedre Glomma";2018;10;"month";2018-10-01;"Oktober";1,35;2,16013837302566;1,45120070518716;5535782;5610553;11;0,7
"Nedre Glomma";2018;11;"month";2018-11-01;"November";-0,15;2,26227635981301;1,43738182338991;5697781;5689234;12;0,7
"Nedre Glomma";2018;12;"month";2018-12-01;"Desember";-0,58;1,33593894467167;0,955673150026052;4770145;4742598;10;0,4
"Nedre Glomma";2019;1;"month";2019-01-01;"Januar";0,94;1,96158391047603;1,31781000222654;4810848;4856183;11;0,6
"Nedre Glomma";2019;2;"month";2019-02-01;"Februar";-0,17;2,81171404050173;1,88893519476044;4357233;4349980;11;0,8
