"index_p";"index_i";"month_name";"month_object";"year"
1,80962166716281;1,01809621667163;"Desember";2019-12-01;2019
1,08536885043706;1,01085368850437;"Januar";2020-01-01;2020
0,971485888658341;1,00971485888658;"Februar";2020-02-01;2020
-2,02283844122343;0,979771615587766;"Mars";2020-03-01;2020
-3,59193410916494;0,964080658908351;"April";2020-04-01;2020
-5,38265349699748;0,946173465030025;"Mai";2020-05-01;2020
-6,34068297572342;0,936593170242766;"Juni";2020-06-01;2020
-7,00121065788236;0,929987893421176;"Juli";2020-07-01;2020
-8,02253865124488;0,919774613487551;"August";2020-08-01;2020
-8,72958828594557;0,912704117140544;"September";2020-09-01;2020
-9,52104419836063;0,904789558016394;"Oktober";2020-10-01;2020
-10,0993002299002;0,899006997700998;"November";2020-11-01;2020
